Category,Followers,GMV,Partition types,Depths,Partitions,Pages,Attempts,Rows,New,Duplicates,Duplicate %,Unique %,New/Page,New/Attempt,First Run WIB,Last Run WIB,Comparison class,Historical GMV-All pages,Historical GMV-All rows,Historical GMV-All new,Historical GMV-All unique %,Historical GMV-All new/page
Perlengkapan Rumah → Home Organizer,"4,750–4,874",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,436,400,107,293,73.25%,26.75%,5.3500,0.2454,29/08/2026 01:31:50 WIB,29/08/2026 02:05:08 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,750–4,999",G1 Low,ADAPTIVE_FOLLOWER,2,1,20,135,400,74,326,81.50%,18.50%,3.7000,0.5481,29/08/2026 00:38:19 WIB,29/08/2026 00:51:29 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,750–4,999",G2 Medium,ADAPTIVE_FOLLOWER,2,1,20,181,396,75,321,81.06%,18.94%,3.7500,0.4144,29/08/2026 02:56:41 WIB,29/08/2026 03:13:06 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,875–4,999",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,168,400,119,281,70.25%,29.75%,5.9500,0.7083,29/08/2026 02:16:03 WIB,29/08/2026 02:31:48 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,000–5,312",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,194,400,167,233,58.25%,41.75%,8.3500,0.8608,29/08/2026 07:57:57 WIB,29/08/2026 08:16:54 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,000–5,624",G1 Low,ADAPTIVE_FOLLOWER,2,1,20,49,400,216,184,46.00%,54.00%,10.8000,4.4082,29/08/2026 06:35:29 WIB,29/08/2026 06:46:05 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,000–6,249",G1 Low,ADAPTIVE_FOLLOWER,1,1,20,83,400,187,213,53.25%,46.75%,9.3500,2.2530,29/08/2026 00:20:03 WIB,29/08/2026 00:29:46 WIB,EXACT MATCH,20,400,82,20.50%,4.1000
Perlengkapan Rumah → Home Organizer,"5,000–6,249",G2 Medium,ADAPTIVE_FOLLOWER,1,1,20,93,400,165,235,58.75%,41.25%,8.2500,1.7742,29/08/2026 02:05:24 WIB,29/08/2026 02:15:45 WIB,EXACT MATCH,20,400,82,20.50%,4.1000
Perlengkapan Rumah → Home Organizer,"5,000–7,499",G1 Low,V2_SEED,0,1,21,98,401,391,10,2.49%,97.51%,18.6190,3.9898,28/08/2026 23:41:02 WIB,28/08/2026 23:52:52 WIB,EXACT MATCH,20,400,16,4.00%,0.8000
Perlengkapan Rumah → Home Organizer,"5,000–7,499",G2 Medium,V2_SEED,0,1,20,107,400,370,30,7.50%,92.50%,18.5000,3.4579,29/08/2026 00:51:46 WIB,29/08/2026 01:02:44 WIB,EXACT MATCH,20,400,16,4.00%,0.8000
Perlengkapan Rumah → Home Organizer,"5,000–7,499",G3 High,V2_SEED,0,1,20,121,400,31,369,92.25%,7.75%,1.5500,0.2562,29/08/2026 02:44:07 WIB,29/08/2026 02:56:21 WIB,EXACT MATCH,20,400,16,4.00%,0.8000
Perlengkapan Rumah → Home Organizer,"5,000–7,499",G4 Very High,V2_SEED,0,1,10,29,187,0,187,100.00%,0.00%,0.0000,0.0000,29/08/2026 04:23:37 WIB,29/08/2026 04:29:31 WIB,EXACT MATCH,20,400,16,4.00%,0.8000
Perlengkapan Rumah → Home Organizer,"5,313–5,468",G1 Low,ADAPTIVE_FOLLOWER,4,1,20,210,400,201,199,49.75%,50.25%,10.0500,0.9571,29/08/2026 09:57:43 WIB,29/08/2026 10:18:47 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,313–5,624",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,92,400,225,175,43.75%,56.25%,11.2500,2.4457,29/08/2026 08:40:50 WIB,29/08/2026 08:52:50 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,469–5,624",G1 Low,ADAPTIVE_FOLLOWER,4,1,20,137,400,199,201,50.25%,49.75%,9.9500,1.4526,29/08/2026 10:19:10 WIB,29/08/2026 10:35:41 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,625–5,937",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,120,400,200,200,50.00%,50.00%,10.0000,1.6667,29/08/2026 07:20:09 WIB,29/08/2026 07:38:49 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,625–6,249",G1 Low,ADAPTIVE_FOLLOWER,2,1,20,39,400,263,137,34.25%,65.75%,13.1500,6.7436,29/08/2026 06:46:27 WIB,29/08/2026 06:58:16 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"5,938–6,249",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,183,400,200,200,50.00%,50.00%,10.0000,1.0929,29/08/2026 07:39:10 WIB,29/08/2026 07:57:29 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,250–6,562",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,84,399,197,202,50.63%,49.37%,9.8500,2.3452,29/08/2026 08:53:10 WIB,29/08/2026 09:04:29 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,250–6,562",G2 Medium,ADAPTIVE_FOLLOWER,3,1,16,31,316,104,212,67.09%,32.91%,6.5000,3.3548,29/08/2026 04:41:31 WIB,29/08/2026 04:47:42 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,250–6,874",G1 Low,ADAPTIVE_FOLLOWER,2,1,20,34,400,179,221,55.25%,44.75%,8.9500,5.2647,29/08/2026 04:58:50 WIB,29/08/2026 05:05:09 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,250–6,874",G2 Medium,ADAPTIVE_FOLLOWER,2,1,20,157,400,176,224,56.00%,44.00%,8.8000,1.1210,29/08/2026 03:59:56 WIB,29/08/2026 04:14:48 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,250–7,499",G1 Low,ADAPTIVE_FOLLOWER,1,1,20,88,400,262,138,34.50%,65.50%,13.1000,2.9773,29/08/2026 04:48:07 WIB,29/08/2026 04:58:33 WIB,EXACT MATCH,20,400,154,38.50%,7.7000
Perlengkapan Rumah → Home Organizer,"6,250–7,499",G2 Medium,ADAPTIVE_FOLLOWER,1,1,20,137,400,240,160,40.00%,60.00%,12.0000,1.7518,29/08/2026 03:37:38 WIB,29/08/2026 03:57:44 WIB,EXACT MATCH,20,400,154,38.50%,7.7000
Perlengkapan Rumah → Home Organizer,"6,563–6,874",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,317,400,205,195,48.75%,51.25%,10.2500,0.6467,29/08/2026 09:33:41 WIB,29/08/2026 09:56:57 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,563–6,874",G2 Medium,ADAPTIVE_FOLLOWER,3,1,15,105,290,97,193,66.55%,33.45%,6.4667,0.9238,29/08/2026 06:03:55 WIB,29/08/2026 06:14:41 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,875–7,187",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,78,400,189,211,52.75%,47.25%,9.4500,2.4231,29/08/2026 05:35:25 WIB,29/08/2026 05:45:09 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,875–7,187",G2 Medium,ADAPTIVE_FOLLOWER,3,1,13,26,256,51,205,80.08%,19.92%,3.9231,1.9615,29/08/2026 04:29:47 WIB,29/08/2026 04:35:18 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,875–7,499",G1 Low,ADAPTIVE_FOLLOWER,2,1,20,143,400,216,184,46.00%,54.00%,10.8000,1.5105,29/08/2026 05:05:45 WIB,29/08/2026 05:20:08 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"6,875–7,499",G2 Medium,ADAPTIVE_FOLLOWER,2,1,20,24,400,215,185,46.25%,53.75%,10.7500,8.9583,29/08/2026 04:15:04 WIB,29/08/2026 04:23:24 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"7,188–7,499",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,96,400,208,192,48.00%,52.00%,10.4000,2.1667,29/08/2026 05:46:51 WIB,29/08/2026 06:03:35 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"7,188–7,499",G2 Medium,ADAPTIVE_FOLLOWER,3,1,12,48,228,29,199,87.28%,12.72%,2.4167,0.6042,29/08/2026 04:35:50 WIB,29/08/2026 04:41:14 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"7,500–8,749",G1 Low,ADAPTIVE_FOLLOWER,1,1,7,22,140,29,111,79.29%,20.71%,4.1429,1.3182,29/08/2026 10:36:21 WIB,29/08/2026 10:41:51 WIB,EXACT MATCH,20,400,2,0.50%,0.1000
Perlengkapan Rumah → Home Organizer,"7,500–9,999",G1 Low,V2_SEED,0,1,20,85,400,123,277,69.25%,30.75%,6.1500,1.4471,29/08/2026 05:21:13 WIB,29/08/2026 05:33:08 WIB,EXACT MATCH,20,400,80,20.00%,4.0000
Perlengkapan Rumah → Home Organizer,"7,500–9,999",G2 Medium,V2_SEED,0,1,20,224,400,80,320,80.00%,20.00%,4.0000,0.3571,29/08/2026 06:58:53 WIB,29/08/2026 07:19:41 WIB,EXACT MATCH,20,400,80,20.00%,4.0000
Perlengkapan Rumah → Home Organizer,"7,500–9,999",G3 High,V2_SEED,0,1,20,213,400,20,380,95.00%,5.00%,1.0000,0.0939,29/08/2026 09:04:56 WIB,29/08/2026 09:25:00 WIB,EXACT MATCH,20,400,80,20.00%,4.0000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"7,500–7,656",G1 Low,ADAPTIVE_GMV,5,1,20,137,400,276,124,31.00%,69.00%,13.8000,2.0146,26/08/2026 19:13:32 WIB,26/08/2026 19:46:36 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"7,500–7,656",G2 Medium,ADAPTIVE_GMV,5,1,6,10,116,29,87,75.00%,25.00%,4.8333,2.9000,26/08/2026 16:27:39 WIB,26/08/2026 16:30:36 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"7,500–7,656",G3 High,ADAPTIVE_GMV,5,1,3,167,58,7,51,87.93%,12.07%,2.3333,0.0419,26/08/2026 14:58:33 WIB,26/08/2026 15:02:07 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"7,500–7,656",G4 Very High,ADAPTIVE_GMV,5,1,1,3,12,0,12,100.00%,0.00%,0.0000,0.0000,26/08/2026 15:25:31 WIB,26/08/2026 15:25:31 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,063–9,218",G1 Low,ADAPTIVE_GMV,5,1,20,286,400,238,162,40.50%,59.50%,11.9000,0.8322,26/08/2026 17:14:08 WIB,26/08/2026 17:46:18 WIB,EXACT MATCH,20,400,200,50.00%,10.0000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,063–9,218",G2 Medium,ADAPTIVE_GMV,5,1,5,7,91,15,76,83.52%,16.48%,3.0000,2.1429,26/08/2026 15:26:05 WIB,26/08/2026 15:28:31 WIB,EXACT MATCH,20,400,200,50.00%,10.0000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,063–9,218",G3 High,ADAPTIVE_GMV,5,1,3,11,52,1,51,98.08%,1.92%,0.3333,0.0909,26/08/2026 13:32:52 WIB,26/08/2026 13:34:18 WIB,EXACT MATCH,20,400,200,50.00%,10.0000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,063–9,218",G4 Very High,ADAPTIVE_GMV,5,1,1,1,10,0,10,100.00%,0.00%,0.0000,0.0000,26/08/2026 14:15:03 WIB,26/08/2026 14:15:03 WIB,EXACT MATCH,20,400,200,50.00%,10.0000
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,219–9,374",G1 Low,ADAPTIVE_GMV,5,1,20,94,400,242,158,39.50%,60.50%,12.1000,2.5745,26/08/2026 18:39:48 WIB,26/08/2026 19:10:00 WIB,EXACT MATCH,20,400,193,48.25%,9.6500
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,219–9,374",G2 Medium,ADAPTIVE_GMV,5,1,4,6,78,9,69,88.46%,11.54%,2.2500,1.5000,26/08/2026 15:29:06 WIB,26/08/2026 15:30:45 WIB,EXACT MATCH,20,400,193,48.25%,9.6500
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,219–9,374",G3 High,ADAPTIVE_GMV,5,1,3,48,52,5,47,90.38%,9.62%,1.6667,0.1042,26/08/2026 14:46:47 WIB,26/08/2026 14:47:50 WIB,EXACT MATCH,20,400,193,48.25%,9.6500
Perlengkapan Rumah → Perlengkapan Rumah Lainnya,"9,219–9,374",G4 Very High,ADAPTIVE_GMV,5,1,1,4,13,0,13,100.00%,0.00%,0.0000,0.0000,26/08/2026 14:48:31 WIB,26/08/2026 14:48:31 WIB,EXACT MATCH,20,400,193,48.25%,9.6500
