Category,Followers,GMV,Partition types,Depths,Partitions,Pages,Attempts,Rows,New,Duplicates,Duplicate %,Unique %,New/Page,New/Attempt,First Run WIB,Last Run WIB,Comparison class,Historical GMV-All pages,Historical GMV-All rows,Historical GMV-All new,Historical GMV-All unique %,Historical GMV-All new/page
Perlengkapan Rumah → Home Organizer,"4,375–4,499",G2 Medium,ADAPTIVE_FOLLOWER,3,1,12,34,235,44,191,81.28%,18.72%,3.6667,1.2941,28/08/2026 22:58:39 WIB,28/08/2026 23:04:02 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,500–4,624",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,123,399,89,310,77.69%,22.31%,4.4500,0.7236,29/08/2026 01:03:01 WIB,29/08/2026 01:15:01 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,500–4,624",G2 Medium,ADAPTIVE_FOLLOWER,3,1,12,132,226,4,222,98.23%,1.77%,0.3333,0.0303,29/08/2026 03:13:44 WIB,29/08/2026 03:24:00 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,500–4,749",G1 Low,ADAPTIVE_FOLLOWER,2,1,20,53,399,91,308,77.19%,22.81%,4.5500,1.7170,29/08/2026 00:30:23 WIB,29/08/2026 00:38:02 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,500–4,749",G2 Medium,ADAPTIVE_FOLLOWER,2,1,20,115,400,79,321,80.25%,19.75%,3.9500,0.6870,29/08/2026 02:32:08 WIB,29/08/2026 02:43:48 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,500–4,999",G1 Low,ADAPTIVE_FOLLOWER,1,1,20,115,400,66,334,83.50%,16.50%,3.3000,0.5739,28/08/2026 20:04:01 WIB,28/08/2026 20:14:45 WIB,EXACT MATCH,40,800,244,30.50%,6.1000
Perlengkapan Rumah → Home Organizer,"4,500–4,999",G2 Medium,ADAPTIVE_FOLLOWER,1,1,20,24,400,54,346,86.50%,13.50%,2.7000,2.2500,28/08/2026 22:30:21 WIB,28/08/2026 22:37:16 WIB,EXACT MATCH,40,800,244,30.50%,6.1000
Perlengkapan Rumah → Home Organizer,"4,500–4,999",G3 High,ADAPTIVE_FOLLOWER,1,1,20,256,400,53,347,86.75%,13.25%,2.6500,0.2070,29/08/2026 08:22:35 WIB,29/08/2026 08:40:28 WIB,EXACT MATCH,40,800,244,30.50%,6.1000
Perlengkapan Rumah → Home Organizer,"4,625–4,749",G1 Low,ADAPTIVE_FOLLOWER,3,1,20,177,400,118,282,70.50%,29.50%,5.9000,0.6667,29/08/2026 01:15:21 WIB,29/08/2026 01:31:31 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"4,625–4,749",G2 Medium,ADAPTIVE_FOLLOWER,3,1,12,84,225,8,217,96.44%,3.56%,0.6667,0.0952,29/08/2026 03:24:16 WIB,29/08/2026 03:35:48 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
